选项,指标,20260630,20260331,20251231,20250930,20250630,20250331,20241231,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20201231,20200930,20200630,20191231,20181231,20171231,20170630,20161231,20160331,20151231,20141231
每股指标,每股营业总收入,15.255819,6.741942,29.288112,20.295582,13.249421,6.144165,25.682028,16.999878,10.441084,4.496417,16.405056,10.932715,7.702816,3.454481,13.63644,9.327135,6.094422,2.812816,15.457422,11.478879,8.072506,14.591697,10.13453,6.365839,7.996597,25.260342,21.928775,10.616513,18.500935,34.193306,57.301309,49.655057
每股指标,每股息税前利润,0.533459,0.150736,0.980992,0.651742,0.516943,0.156357,0.680557,0.590387,0.698865,0.255938,1.003738,0.65972,0.49412,0.173781,0.627517,0.528068,0.405786,,1.168425,,0.849513,1.4878,,0.781697,0.193808,-0.0394,-0.854837,0.281876,0.620544,1.745385,2.559203,-33.412674
盈利能力,净资产收益率(ROE),5.91,1.54,10.77,8.09,6.6,1.88,8.71,7.84,9.29,3.5,17.51,12.89,9.83,3.51,13.57,11.69,9.08,3.05,31.83,,24.66,65.08,,40.22,15.18,-2.01,-28.08,9.04,24.76,9.77,231.37,
盈利能力,摊薄净资产收益率,5.782563,1.519714,10.320946,7.880174,6.243923,1.858425,8.700505,8.086456,9.221512,3.441366,13.897612,9.271991,9.368853,3.44811,12.728296,,8.681537,3.003987,27.469029,23.70765,21.943218,49.172565,,33.474673,11.544573,-2.017984,-19.819716,8.554513,21.800473,9.290258,14.051585,
盈利能力,净资产收益率_平均,5.910373,1.535695,10.878428,8.189235,6.544526,1.884363,8.783207,8.089862,9.481903,3.501504,17.339882,11.542952,9.824981,3.507915,13.611094,,9.082954,3.04973,31.860186,26.907757,24.658686,65.079862,,40.217461,13.571409,-2.005113,-25.836857,8.985629,24.793965,9.772322,31.680948,
盈利能力,净资产收益率_平均_扣除非经常损益,6.146525,1.61165,10.131793,8.61948,7.19287,1.624751,7.415313,6.752414,8.438156,2.860461,15.912519,10.772018,9.306466,3.090803,12.689135,,8.899823,2.772263,29.428014,26.703157,24.503989,63.194064,,39.529982,20.500692,-3.615823,-27.325308,6.946901,22.787544,9.79882,31.300064,
盈利能力,摊薄净资产收益率_扣除非经常损益,6.013608,1.594878,9.612574,8.294182,6.862486,1.602386,7.345491,6.749571,8.206428,2.811332,12.753606,8.652731,8.87441,,,,8.506502,,25.372075,,,47.747706,,,17.438991,,,6.6136,20.036297,9.31548,13.882639,
盈利能力,息税前利润率,3.496763,2.235809,3.349456,3.211254,3.901633,2.544818,2.649937,3.472892,6.693416,5.692054,6.118469,6.034374,6.414799,5.030603,4.60177,5.661635,6.65833,,7.558994,,10.523545,10.196211,,12.279566,2.423634,-0.155976,-3.898246,2.655075,3.354123,5.104464,4.466221,-67.289569
盈利能力,总资产报酬率,4.261632,1.285658,8.275019,5.495853,4.399356,1.336078,6.509628,5.489572,6.852496,2.770874,13.420182,8.848461,7.124516,2.663639,9.814612,,6.468935,,21.716257,,15.907988,40.844677,,24.471204,7.959461,-0.443388,-12.00776,4.133542,12.674315,5.093469,15.762833,-138.445782
盈利能力,总资本回报率,5.915024,1.658219,10.598023,6.900155,5.423539,1.614137,8.055744,7.161843,8.817297,3.347402,16.29999,10.544912,8.581699,3.154247,11.938884,,7.773782,,30.646821,,23.7028,71.500912,,42.472557,14.169819,-0.809429,-23.946519,10.535556,30.762466,13.149235,45.84878,
盈利能力,投入资本回报率,5.456096,1.292399,8.300809,5.88873,4.683361,1.417913,7.00115,6.332521,7.667511,2.936952,14.183296,9.293113,7.564194,2.778905,10.554762,,6.810326,2.514532,26.307985,26.718355,20.428965,60.796108,,36.096932,12.628647,0.484376,-18.760705,9.19045,26.966994,10.503321,36.299091,
盈利能力,息前税后总资产报酬率_平均,3.435483,1.002029,6.481337,4.690271,3.798954,1.173657,5.657439,4.853894,5.958922,2.431117,11.680432,7.800006,6.281687,2.34742,8.676766,,5.667197,1.805949,18.641769,14.705373,13.710774,34.72959,,20.797791,7.093754,0.265331,-9.407382,3.6058,11.110558,4.068552,12.479645,-108.876784
盈利能力,毛利率,42.706374,43.098757,42.68851,43.555809,44.473924,43.889198,43.77594,44.929557,46.512972,47.167041,45.84415,69.743833,69.200529,69.112985,65.624023,65.027898,65.101805,,62.784542,,63.432551,66.820247,,68.610529,66.214406,65.574762,61.527369,63.228724,60.998984,61.07815,61.43964,58.313948
盈利能力,销售净利率,2.672233,1.564391,2.394762,2.561473,3.165058,1.912969,2.083613,2.872921,5.639429,4.782884,5.112201,5.087887,5.422029,4.178964,3.77136,4.677135,5.494696,3.871445,6.248781,6.902229,8.879119,8.583285,10.318005,10.299748,1.879548,-0.295438,-3.385411,1.981467,2.6196,3.793564,3.086104,-55.859312
盈利能力,成本费用利润率,3.538598,2.123693,3.265451,3.172816,3.896089,2.289689,2.505224,3.405554,7.000278,5.828441,6.318988,6.216035,6.651579,5.057099,4.569422,5.74415,6.871089,,7.982368,,11.697529,11.488775,,14.155426,2.216521,-0.545039,-4.20337,2.365676,3.123045,5.064291,4.191173,-41.351416
盈利能力,营业利润率,3.637915,2.165015,3.229319,3.170767,3.897693,2.217979,2.483529,3.339751,6.599295,5.60916,5.940178,5.862284,6.277433,4.892382,4.359346,5.377922,6.410372,4.746773,7.309684,8.048472,10.30731,10.164425,12.224757,12.278182,2.195687,-0.510921,-3.896209,2.148347,2.735466,4.826362,3.991506,-70.230084
盈利能力,总资产净利率_平均,3.256748,0.899572,5.916393,4.383796,3.568819,1.004344,5.118442,4.541202,5.773458,2.328293,11.213044,7.460587,6.021908,2.212707,8.043521,,5.338401,1.805949,17.95214,14.705373,13.42218,34.383507,,20.525745,6.172626,-0.839828,-10.428074,3.084839,9.898754,3.785393,10.891925,-114.928453
盈利能力,总资产净利率_平均(含少数股东损益),3.256748,0.899572,5.916393,4.383796,3.568819,1.004344,5.118442,4.541202,5.773458,2.328293,11.213044,7.460587,6.021908,2.212707,8.043521,,5.338401,1.805949,17.95214,14.705373,13.42218,34.383507,,20.525745,6.172626,-0.839828,-10.428074,3.084839,9.898754,3.785393,10.891925,-114.928453
