公司名称,公司代码,股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
安克创新,300866,300866,2021-06-30,按地区分类,中国大陆,176452876.42,0.032855,,,,,
安克创新,300866,300866,2020-12-31,按行业分类,消费电子业,9352629343.29,1.0,5251143047.57,1.0,4101486295.72,1.0,0.438538
安克创新,300866,300866,2020-12-31,按产品分类,充电类产品,4143628643.42,0.443044,2301227725.08,0.438234,1842400918.34,0.449203,0.444635
安克创新,300866,300866,2020-12-31,按产品分类,智能创新类产品,3059459719.69,0.327123,1682508337.12,0.320408,1376951382.57,0.33572,0.450064
安克创新,300866,300866,2020-12-31,按产品分类,无线音频类产品,2121462014.42,0.226831,1250004399.85,0.238044,871457614.57,0.212474,0.410782
安克创新,300866,300866,2020-12-31,按产品分类,其他,28078965.76,0.003002,17402585.52,0.003314,10676380.24,0.002603,0.380227
安克创新,300866,300866,2020-12-31,按地区分类,境外,9210143413.49,0.984765,5149225350.02,0.980591,4060918063.47,0.990109,0.440918
安克创新,300866,300866,2020-12-31,按地区分类,境内,142485929.8,0.015235,101917697.55,0.019409,40568232.25,0.009891,0.284717
安克创新,300866,300866,2020-06-30,按产品分类,充电类,1650893829.0,0.467978,,,,,
安克创新,300866,300866,2020-06-30,按产品分类,智能创新类,1025656171.0,0.290742,,,,,
安克创新,300866,300866,2020-06-30,按产品分类,无线音频类,837708283.1,0.237465,,,,,
安克创新,300866,300866,2020-06-30,按产品分类,其他,13455110.44,0.003814,,,,,
安克创新,300866,300866,2020-06-30,按地区分类,北美地区,1956494760.0,0.554607,,,,,
安克创新,300866,300866,2020-06-30,按地区分类,欧洲地区,643016269.8,0.182276,,,,,
安克创新,300866,300866,2020-06-30,按地区分类,日本地区,531405208.0,0.150637,,,,,
安克创新,300866,300866,2020-06-30,按地区分类,其他地区,176253169.11,0.049962,,,,,
安克创新,300866,300866,2020-06-30,按地区分类,中东地区,176030237.3,0.049899,,,,,
安克创新,300866,300866,2020-06-30,按地区分类,中国大陆,44513749.33,0.012618,,,,,
安克创新,300866,300866,2019-12-31,按产品分类,充电类,3810472900.0,0.572595,1750647200.0,0.525181,2059825700.0,0.620183,0.54057
安克创新,300866,300866,2019-12-31,按产品分类,智能创新类,1509840300.0,0.226882,792230000.0,0.237663,717610300.0,0.216062,0.475289
安克创新,300866,300866,2019-12-31,按产品分类,无线音频类,1279693500.0,0.192298,772475100.0,0.231737,507218400.0,0.152716,0.396359
安克创新,300866,300866,2019-12-31,按产品分类,其他,46765500.0,0.007027,16735500.0,0.005021,30030000.0,0.009042,0.64214
安克创新,300866,300866,2019-12-31,按产品分类,其他(补充),7966100.0,0.001197,1328800.0,0.000399,6637300.0,0.001998,0.833193
安克创新,300866,300866,2019-12-31,按地区分类,其他,7078984394.32,1.063751,5048418161.6,1.514488,2030566232.72,0.611373,0.286844
安克创新,300866,300866,2019-12-31,按地区分类,美国,3551067250.57,0.533615,1783250772.12,0.534962,1767816478.45,0.532263,0.497827
安克创新,300866,300866,2019-12-31,按地区分类,欧洲,1149899585.13,0.172794,600508289.4,0.180148,549391295.73,0.165413,0.477773
安克创新,300866,300866,2019-12-31,按地区分类,日本,858916840.11,0.129068,591182589.64,0.17735,267734250.47,0.080611,0.311711
安克创新,300866,300866,2019-12-31,按地区分类,分部间抵消,-5984129885.2,-0.899228,-4689943167.11,-1.406948,-1294186718.09,-0.38966,
安克创新,300866,300866,2018-12-31,按产品分类,充电类,3320734900.0,0.634671,1565114900.0,0.599555,1755620000.0,0.669635,0.528684
安克创新,300866,300866,2018-12-31,按产品分类,无线音频类,1024394600.0,0.195786,573388700.0,0.21965,451005900.0,0.172024,0.440266
安克创新,300866,300866,2018-12-31,按产品分类,智能创新类,872152000.0,0.166689,466432100.0,0.178678,405719900.0,0.154751,0.465194
安克创新,300866,300866,2018-12-31,按产品分类,其他,13816700.0,0.002641,4781500.0,0.001832,9035200.0,0.003446,0.653933
安克创新,300866,300866,2018-12-31,按产品分类,其他(补充),1120100.0,0.000214,743200.0,0.000285,376900.0,0.000144,0.336488
安克创新,300866,300866,2018-12-31,按地区分类,其他,4825658453.05,0.922297,3342062471.62,1.280258,1483595981.43,0.565878,0.307439
安克创新,300866,300866,2018-12-31,按地区分类,美国,2637795671.1,0.504145,1258165544.7,0.481971,1379630126.4,0.526223,0.523024
安克创新,300866,300866,2018-12-31,按地区分类,欧洲,1003062224.35,0.191709,489228276.82,0.187411,513833947.53,0.195988,0.512265
安克创新,300866,300866,2018-12-31,按地区分类,日本,671462970.09,0.128332,416120643.97,0.159405,255342326.12,0.097394,0.380278
安克创新,300866,300866,2018-12-31,按地区分类,分部间抵消,-3905761077.07,-0.746483,-2895116422.09,-1.109044,-1010644654.98,-0.385484,
安克创新,300866,300866,2017-12-31,按产品分类,充电类,2832635800.0,0.725758,1314577900.0,0.701954,1518057900.0,0.747714,0.535917
安克创新,300866,300866,2017-12-31,按产品分类,无线音频类,701197400.0,0.179656,359008800.0,0.191702,342188600.0,0.168544,0.488006
安克创新,300866,300866,2017-12-31,按产品分类,智能创新类,329047500.0,0.084306,168791600.0,0.090131,160255900.0,0.078934,0.48703
安克创新,300866,300866,2017-12-31,按产品分类,其他,40124900.0,0.010281,30362800.0,0.016213,9762100.0,0.004808,0.243293
安克创新,300866,300866,2017-12-31,按地区分类,其他,4690775283.8,1.201837,3422533983.21,1.827553,1268241300.59,0.624668,0.270369
安克创新,300866,300866,2017-12-31,按地区分类,美国,2003880340.36,0.51342,1149400583.95,0.613753,854479756.41,0.420871,0.426413
安克创新,300866,300866,2017-12-31,按地区分类,欧洲,765593222.53,0.196155,421740947.64,0.2252,343852274.89,0.169363,0.449132
安克创新,300866,300866,2017-12-31,按地区分类,日本,444789710.5,0.113961,290064505.46,0.154888,154725205.04,0.076209,0.347861
安克创新,300866,300866,2017-12-31,按地区分类,分部间抵消,-4002033013.7,-1.025372,-3410998924.61,-1.821394,-591034089.09,-0.291112,
安克创新,300866,300866,2017-06-30,按产品分类,线头充电器支架类产品,729536079.6,0.465165,306846713.32,0.422174,422689366.28,0.502298,0.579395
安克创新,300866,300866,2017-06-30,按产品分类,电池类产品,508239056.48,0.324062,259956764.49,0.357661,248282291.99,0.295043,0.488515
安克创新,300866,300866,2017-06-30,按产品分类,其他产品,330561938.05,0.210772,160021988.02,0.220166,170539950.03,0.202659,0.515909
安克创新,300866,300866,2017-06-30,按地区分类,国外销售,1527854634.38,0.974188,702459808.97,0.966477,825394825.41,0.980848,0.540231
安克创新,300866,300866,2017-06-30,按地区分类,国内销售,40482439.75,0.025812,24365656.86,0.033523,16116782.89,0.019152,0.398118
安克创新,300866,300866,2016-12-31,按产品分类,线头充电器支架类产品,1135470427.65,0.449468,472143414.65,0.409556,663327013.0,0.482969,0.584187
安克创新,300866,300866,2016-12-31,按产品分类,电池类产品,1064873432.49,0.421523,521107492.74,0.45203,543765939.75,0.395916,0.510639
安克创新,300866,300866,2016-12-31,按产品分类,其他产品,325909994.89,0.129009,159566020.64,0.138414,166343974.25,0.121115,0.510399
安克创新,300866,300866,2016-12-31,按地区分类,国外销售,2488133270.4,0.98491,1125154706.94,0.976005,1362978563.46,0.992385,0.547792
安克创新,300866,300866,2016-12-31,按地区分类,国内销售,38120584.63,0.01509,27662221.1,0.023995,10458363.53,0.007615,0.27435
